Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
2200	-14021.8	-14500.54	478.7431	82.93153	6.760773
2210	-14082.77	-14528.48	445.7124	79.6167	7.148312
2220	-14102.92	-14557.65	454.7291	91.58194	7.036121
2230	-14043.19	-14511.24	468.0453	81.06413	6.879182
2240	-14076.67	-14542.06	465.3903	93.43626	6.911211
2250	-14060.69	-14523.27	462.5759	86.26984	6.961987
2260	-14049.79	-14503.69	453.8996	84.65327	7.062927
2270	-14048.1	-14506.96	458.8648	87.81052	7.003369
2280	-14032.57	-14506.81	474.2435	85.12376	6.824096
2290	-14084.19	-14562.1	477.9176	91.11898	6.783972
2300	-14023.88	-14516.57	492.6875	90.45603	6.621905
2310	-14044.01	-14530.68	486.6667	92.2813	6.686221
2320	-14074.45	-14535.53	461.0825	83.33733	6.975053
2330	-14109.3	-14557.16	447.8579	82.84558	7.133051
2340	-14040.67	-14516.28	475.6103	93.05461	6.803322
2350	-14051.67	-14515.17	463.5017	77.63625	6.905789
2360	-14059.43	-14522.06	462.6334	81.83604	6.950225
2370	-14060.73	-14516.9	456.1765	92.18878	7.017133
2380	-14060.87	-14504.16	443.2923	82.18443	7.187247
2390	-14069.99	-14505.75	435.758	84.06497	7.278209
2400	-14065.01	-14521.15	456.1456	88.11679	7.03365
2410	-14056.59	-14535.28	478.6865	87.88161	6.777692
2420	-14067.34	-14530.85	463.5061	88.74349	6.949058
2430	-14035.39	-14508.04	472.6406	81.87648	6.828205
2440	-14082.3	-14522.86	440.5625	85.28948	7.219465
2450	-14115.52	-14547.1	431.5856	83.32511	7.329012
2460	-14023.52	-14493.7	470.1807	89.54664	6.872679
2470	-14080.49	-14542.62	462.1335	86.48631	6.967112
2480	-14064.39	-14544.2	479.8081	84.88012	6.757796
2490	-14052.56	-14507.33	454.7647	85.10878	7.052922
2500	-14002.93	-14490.88	487.9557	90.50739	6.674197
2510	-14079.68	-14523.47	443.7928	82.12839	7.181053
2520	-14087.47	-14536.57	449.0962	80.81525	7.111907
2530	-14045.99	-14518.49	472.4982	91.86573	6.84119
2540	-14052.45	-14506.59	454.1367	83.35432	7.058432
2550	-14061.01	-14525.35	464.3469	86.27212	6.941459
2560	-14073.45	-14530.48	457.0398	86.00189	7.026283
2570	-14053.19	-14507.8	454.609	91.58094	7.037437
2580	-14027.93	-14510.34	482.4106	87.86554	6.735296
2590	-14069.32	-14529.49	460.1631	87.18352	6.989404
2600	-14042.23	-14524.34	482.1021	91.35404	6.737654
2610	-14037.79	-14525.59	487.8015	93.02016	6.672392
2620	-14039.57	-14506.42	466.8541	86.35697	6.912456
2630	-14064.03	-14533.72	469.6885	89.38251	6.878468
2640	-14071.32	-14523.96	452.642	90.28817	7.065383
2650	-14046.64	-14525.51	478.8738	93.20761	6.767723
2660	-14060.75	-14521.68	460.9321	82.09852	6.972232
2670	-14081.11	-14539.3	458.1953	84.88584	7.012429
2680	-14058.8	-14528.02	469.2232	91.52737	6.878046
2690	-14026.89	-14511.99	485.0994	93.97205	6.698596
2700	-14060.61	-14537.83	477.224	92.14695	6.788948
2710	-14082.04	-14532.61	450.5765	84.91815	7.102178
2720	-14075.03	-14527.85	452.8191	81.44576	7.068657
2730	-14060.96	-14524.36	463.4047	85.22409	6.951563
2740	-14037.32	-14503.44	466.1235	85.076	6.9194
2750	-14013.22	-14473.32	460.0938	81.37302	6.978958
2760	-14080.42	-14539.09	458.672	84.92069	7.006847
2770	-14056.48	-14524.3	467.8162	91.33488	6.8941
2780	-14061.53	-14519.73	458.1913	88.37068	7.009872
2790	-14043.51	-14508.35	464.8385	89.46395	6.932538
2800	-14085.34	-14520.82	435.4789	79.18252	7.275096
2810	-14054.16	-14525.78	471.6159	82.31073	6.843355
2820	-14013.83	-14498.25	484.4173	87.17166	6.711182
2830	-14048.94	-14520.27	471.3344	85.6092	6.859364
2840	-14070.92	-14534.55	463.6357	84.8602	6.948295
2850	-14040.32	-14529.69	489.3684	97.27879	6.640273
2860	-14042.88	-14512.85	469.9691	87.80904	6.876912
2870	-14042.81	-14526.92	484.1143	93.13644	6.711703
2880	-14059.33	-14530.57	471.2397	86.74642	6.862075
2890	-14066.57	-14539.46	472.8916	86.90636	6.843192
2900	-14089.4	-14546.02	456.6147	80.53926	7.017318
2910	-14066.02	-14516.1	450.0797	80.73127	7.099359
2920	-14084.99	-14523.81	438.8231	80.80193	7.238988
2930	-14091.89	-14529.71	437.8274	84.83707	7.252465
2940	-14038.36	-14496.34	457.9742	83.32253	7.012312
2950	-14090.63	-14534.41	443.7788	82.92895	7.182375
2960	-14064.77	-14526.9	462.1337	88.76158	6.964484
2970	-14014.27	-14485.02	470.7527	80.78682	6.843714
2980	-14057.57	-14517.52	459.9525	85.09569	6.991954
2990	-14087.17	-14531.1	443.9248	82.45789	7.180016
3000	-14035.98	-14514.17	478.184	91.06132	6.781166
3010	-14099.81	-14537.57	437.7566	80.67585	7.251852
3020	-14051.9	-14518.01	466.1085	85.89777	6.920737
3030	-14031.46	-14506.41	474.9515	91.68755	6.81501
3040	-14060.36	-14513.47	453.1023	92.52977	7.048459
3050	-14078.22	-14553.74	475.5249	84.455	6.806735
3060	-14072.11	-14528.85	456.7438	85.79901	7.029781
3070	-14087.73	-14546.31	458.5879	86.92857	7.007757
3080	-14059.55	-14526.98	467.4233	85.93098	6.905469
3090	-14036.42	-14499.98	463.5586	86.57991	6.950638
3100	-14019.02	-14485.28	466.2619	85.4012	6.918321
3110	-13985.11	-14485.19	500.0751	91.95096	6.540997
3120	-14053.5	-14514.32	460.8246	87.40638	6.981585
3130	-14077.98	-14524.64	446.6671	83.47663	7.148151
3140	-14066.74	-14523.45	456.7153	85.50265	7.030124
3150	-14086.7	-14543.92	457.2224	81.91793	7.016688
3160	-14036.03	-14510.33	474.3081	87.02119	6.827013
3170	-14061.44	-14532.39	470.953	86.67305	6.865319
3180	-14071.23	-14529.92	458.6832	86.66483	7.006888
3190	-14077.45	-14532.23	454.7847	89.24874	7.045683
3200	-14095.58	-14559.08	463.5044	87.68048	6.950675
3210	-14087.12	-14541.57	454.4495	85.55519	7.056611
3220	-14072.98	-14520.01	447.0247	81.77349	7.140783
3230	-14079.21	-14537.65	458.4387	81.54774	7.000153
3240	-14055.88	-14530.37	474.4947	89.3806	6.824699
3250	-14013.97	-14514.3	500.3341	92.31806	6.538102
3260	-14043.02	-14502.85	459.8317	87.41235	6.992937
3270	-14048.47	-14526.31	477.8462	88.73275	6.787469
3280	-13993.74	-14495.63	501.8886	88.75306	6.516575
3290	-14064.64	-14520.36	455.716	78.69832	7.015695
3300	-14010.9	-14502.42	491.5245	89.17899	6.633944
3310	-14104.68	-14557.89	453.2064	83.17703	7.069242
3320	-14049.37	-14525.87	476.4994	92.10936	6.796925
3330	-14055.72	-14514.64	458.9216	83.36842	7.001066
3340	-14049.09	-14526.68	477.5956	85.21384	6.785016
3350	-14034.03	-14509.9	475.8782	87.5959	6.8095
3360	-14069.05	-14519.82	450.773	80.94825	7.091753
3370	-14093.27	-14532.79	439.5153	83.48104	7.233825
3380	-14110.37	-14540.34	429.9687	80.00422	7.347072
3390	-14082	-14519.47	437.4637	76.96403	7.236225
