Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
293	1	-14197.8	-14624.83	427.0326	87.4886	7.367733
294	0	-14064.31	-14525.07	460.762	84.2815	6.981216
295	1	-14090.03	-14574.59	484.5663	94.88192	6.700923
296	0	-14123.05	-14557.77	434.7229	85.74936	7.286594
297	1	-14125.56	-14596.84	471.2818	94.3727	6.843629
298	0	-14091.42	-14528.91	437.4885	83.91618	7.257779
299	1	-14164.79	-14601.34	436.5564	79.50174	7.262854
300	0	-14135.06	-14553.22	418.1577	76.58059	7.485188
301	1	-14099.2	-14566.18	466.9854	87.5609	6.911038
302	0	-14118.48	-14534.09	415.6087	77.46946	7.522121
303	1	-14108.11	-14568.67	460.5606	90.64531	6.976358
304	0	-14081.64	-14521.78	440.148	88.55729	7.213172
305	1	-14151.88	-14585.75	433.8739	81.80098	7.301626
306	0	-14100.5	-14531.86	431.3624	86.99996	7.32062
307	1	-14115.37	-14579.65	464.276	92.53144	6.927693
308	0	-14089.42	-14538.89	449.4688	86.81232	7.112911
309	1	-14109.89	-14581.1	471.2165	83.38771	6.853674
310	0	-14094.46	-14545.88	451.419	87.88274	7.087965
311	1	-14098.38	-14583.96	485.5803	90.37548	6.700524
312	0	-14125.21	-14582.06	456.8502	86.0459	7.028471
313	1	-14099.29	-14578.63	479.3428	94.27449	6.758625
314	0	-14070.8	-14506.83	436.0321	79.78111	7.270511
315	1	-14126.58	-14592.6	466.0257	84.01207	6.918001
316	0	-14059.92	-14517.96	458.037	88.14208	7.012131
317	1	-14143.76	-14611.23	467.4752	93.16486	6.890221
318	0	-14069.12	-14535.13	466.0147	88.84188	6.920625
319	1	-14153.67	-14613.28	459.6163	84.39691	6.995008
320	0	-14108.03	-14563.06	455.0313	88.1612	7.046184
321	1	-14126.49	-14598.54	472.0544	87.68158	6.853162
322	0	-14113.5	-14570.29	456.7912	86.13182	7.029118
323	1	-14098.55	-14560.45	461.9029	78.94484	6.939315
324	0	-14114.18	-14549.46	435.2762	80.19715	7.281326
325	1	-14049.75	-14529.86	480.1097	91.88574	6.758288
326	0	-14101.6	-14533.19	431.5881	82.8571	7.329431
327	1	-14143.14	-14585.99	442.8441	81.02472	7.189943
328	0	-14094.66	-14550	455.3411	90.09189	7.0363
329	1	-14051.8	-14535.03	483.2308	89.35561	6.726959
330	0	-14051.52	-14511.2	459.6763	85.75961	6.995593
331	1	-14090.61	-14570.6	479.993	87.68115	6.762622
332	0	-14064.13	-14508.53	444.3965	83.72693	7.175438
333	1	-14101.79	-14564.11	462.324	87.31735	6.964511
334	0	-14074.71	-14531.5	456.7945	81.24722	7.018895
335	1	-14057.05	-14540.51	483.4636	93.34755	6.718057
336	0	-14086.39	-14542.24	455.8426	85.86784	7.040261
337	1	-14132.21	-14590.64	458.4337	85.37757	7.009975
338	0	-14126.9	-14569.46	442.5583	80.77784	7.192682
339	1	-14098.15	-14566.57	468.4239	90.4559	6.890142
340	0	-14105.22	-14549.37	444.1545	79.02596	7.164622
341	1	-14127.95	-14576.49	448.5434	84.26603	7.126187
342	0	-14034.26	-14491.67	457.4094	93.3254	6.9973
343	1	-14080.75	-14549.2	468.4586	83.92082	6.888735
344	0	-14085.35	-14525.31	439.962	80.98236	7.2254
345	1	-14127.12	-14573.44	446.3224	81.68894	7.14914
346	0	-14089	-14545.61	456.6116	82.36967	7.025853
347	1	-14076.61	-14558.97	482.3668	84.19413	6.724436
