Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
172	0	-6191.579	-6195.746	4.166534	1.051478	28.77753	0.147109	0.491696	1.00803	2.35316	8.147006
173	1	-6168.434	-6197.263	28.82825	1.513904	29.44613	0.227462	0.590855	1.05123	2.13046	7.290778
174	0	-6176.912	-6179.743	2.83101	1.417079	26.08076	0.212224	0.574146	1.04516	2.16847	8.235061
175	1	-6149.069	-6180.982	31.91308	0.9965892	27.00748	0.136273	0.475724	0.999433	2.38857	7.151939
176	0	-6183.106	-6196.769	13.66267	1.354231	29.36998	0.201901	0.562347	1.04058	2.19518	7.807255
177	1	-6140.418	-6185.225	44.8066	1.19106	30.07126	0.173429	0.527505	1.02563	2.27343	6.756699
178	0	-6179.285	-6200.015	20.7293	1.737843	25.73595	0.259838	0.623888	1.0618	2.05448	7.539362
179	1	-6142.633	-6180.873	38.23989	1.332918	32.19725	0.19832	0.558157	1.03889	2.20463	6.965939
180	0	-6154.442	-6184.759	30.31739	1.795727	28.54172	0.267608	0.631371	1.06392	2.0371	7.236603
181	1	-6185.004	-6202.381	17.37679	1.197174	28.63403	0.17454	0.528935	1.02629	2.27024	7.689256
182	0	-6198.495	-6219.791	21.29611	1.54373	31.12448	0.231999	0.595677	1.05289	2.11943	7.518883
183	1	-6177.171	-6182.308	5.137288	1.767224	25.38091	0.263811	0.627734	1.0629	2.04555	8.142081
184	0	-6154.974	-6196.987	42.01285	1.267244	31.95381	0.187028	0.544596	1.03323	2.23515	6.850441
185	1	-6154.89	-6182.107	27.21719	1.550153	27.8748	0.232967	0.596697	1.05324	2.1171	7.339987
186	0	-6158.027	-6186.767	28.74025	1.767296	27.00784	0.263821	0.627743	1.0629	2.04553	7.269427
187	1	-6153.158	-6173.556	20.39811	1.451603	30.30422	0.217748	0.580297	1.04745	2.15451	7.564437
188	0	-6137.924	-6186.518	48.59412	1.267298	31.75782	0.187037	0.544607	1.03323	2.23512	6.644292
