Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
91	1	-970.669	-1029.835	59.16593	99105.19	36.73322	0.995965	0.998966	1.00103	1.00404	2.681163
92	0	-986.8176	-1029.371	42.55355	39798.52	27.09066	0.993636	0.998365	1.00162	1.00638	3.229632
93	1	-982.3044	-1027.233	44.92871	42168.01	28.57175	0.993817	0.998412	1.00157	1.0062	3.149431
94	0	-990.4578	-1030.432	39.97388	43711.13	25.9778	0.993927	0.998441	1.00155	1.00609	3.31923
95	1	-1004.266	-1048.519	44.25268	12440.69	26.10081	0.988627	0.997066	1.00289	1.01142	3.156267
96	0	-996.288	-1035.572	39.28416	29851.27	29.35089	0.992653	0.998111	1.00187	1.00737	3.341745
97	1	-969.0365	-1029.463	60.42604	58305.87	39.96234	0.994741	0.998651	1.00134	1.00527	2.621334
98	0	-1002.329	-1029.323	26.99359	17476.41	25.02298	0.990401	0.997528	1.00244	1.00963	3.827086
99	1	-978.1689	-1024.168	45.99925	52105.03	30.04819	0.994437	0.998572	1.00142	1.00557	3.111873
100	0	-976.6421	-1029.178	52.53564	48743.81	28.52314	0.994249	0.998524	1.00146	1.00576	2.882655
101	1	-985.8155	-1024.913	39.09776	22740.74	28.95008	0.991584	0.997835	1.00214	1.00844	3.351149
102	0	-996.0874	-1039.92	43.83281	63644.68	28.49192	0.994966	0.998709	1.00128	1.00504	3.187753
103	1	-1006.032	-1034.401	28.36848	11420.39	30.11149	0.988131	0.996937	1.00301	1.01192	3.697207
104	0	-993.1455	-1051.84	58.69416	50012.08	31.0312	0.994322	0.998543	1.00145	1.00569	2.698482
105	1	-985.1402	-1035.06	49.92011	81436.55	34.30197	0.995549	0.998859	1.00113	1.00446	2.96127
106	0	-979.8241	-1047.667	67.8427	63701.84	34.53248	0.994968	0.998709	1.00128	1.00504	2.439974
107	1	-979.7022	-1025.993	46.29092	97945.44	28.84492	0.995941	0.99896	1.00103	1.00406	3.102484
108	0	-984.3323	-1030.914	46.58142	78777.33	31.45354	0.995475	0.99884	1.00115	1.00453	3.086352
109	1	-963.8486	-1024.357	60.50818	42319.36	33.94692	0.993828	0.998415	1.00157	1.00619	2.652702
110	0	-1018.307	-1041.358	23.05142	25720.34	22.37239	0.992085	0.997965	1.00201	1.00794	3.994951
111	1	-985.7203	-1033.029	47.30907	86075.47	29.01589	0.995671	0.99889	1.0011	1.00434	3.067692
112	0	-990.576	-1020.285	29.70872	99463.75	25.06333	0.995972	0.998968	1.00103	1.00403	3.718508
113	1	-986.2411	-1027.153	40.91234	80879.64	35.27545	0.995534	0.998855	1.00114	1.00447	3.206336
114	0	-986.2808	-1026.651	40.3706	95934.94	30.17792	0.995899	0.998949	1.00105	1.00411	3.297999
115	1	-982.5214	-1031.995	49.47342	39230.85	31.57671	0.99359	0.998354	1.00163	1.00642	2.993953
116	0	-977.9688	-1032.786	54.81675	74266.1	32.25888	0.99534	0.998805	1.00119	1.00467	2.825041
117	1	-998.6475	-1038.489	39.84164	8334.25	25.42506	0.986111	0.996409	1.00352	1.01396	3.318886
118	0	-996.3213	-1035.037	38.71607	42921.67	24.58437	0.993871	0.998426	1.00156	1.00614	3.352334
119	1	-994.1425	-1033.588	39.44547	89443.47	28.3886	0.995753	0.998911	1.00108	1.00425	3.342216
120	0	-993.1525	-1026.078	32.92581	11082.81	25.76384	0.987952	0.99689	1.00306	1.0121	3.590882
121	1	-992.9369	-1033.388	40.45143	18056.78	26.88169	0.990557	0.997568	1.0024	1.00948	3.30655
122	0	-984.6321	-1026.969	42.33637	31807.9	28.50091	0.992882	0.998171	1.00181	1.00714	3.240264
123	1	-986.7174	-1030.956	44.23846	80741.79	34.50905	0.99553	0.998854	1.00114	1.00448	3.12386
124	0	-988.2515	-1033.756	45.50451	43217.11	27.22383	0.993892	0.998432	1.00156	1.00612	3.121931
125	1	-998.0865	-1032.353	34.26625	2007.34	27.75566	0.971773	0.992612	1.0071	1.02851	3.530793
126	0	-974.7315	-1023.763	49.03145	55730.55	32.54779	0.994621	0.99862	1.00137	1.00539	3.002509
127	1	-991.5316	-1032.219	40.68784	26217.16	29.06415	0.992161	0.997984	1.00199	1.00786	3.295626
128	0	-984.5936	-1046.754	62.16071	25414.52	34.81263	0.992038	0.997952	1.00203	1.00798	2.604459
129	1	-980.9655	-1030.705	49.73996	88702.48	31.76471	0.995735	0.998907	1.00109	1.00427	2.984785
130	0	-980.6599	-1039.573	58.91283	60689.22	36.70325	0.994845	0.998677	1.00131	1.00516	2.688254
131	1	-980.4822	-1048.593	68.11114	72673.59	34.95669	0.995289	0.998792	1.0012	1.00472	2.434138
132	0	-974.25	-1031.096	56.84621	58480.43	30.30133	0.994749	0.998653	1.00134	1.00526	2.753091
133	1	-1001.022	-1045.663	44.64122	97733.54	28.63132	0.995937	0.998959	1.00104	1.00407	3.159559
134	0	-967.0099	-1020.048	53.03807	34595.63	30.96549	0.993174	0.998246	1.00174	1.00684	2.880651
135	1	-998.4437	-1036.315	37.87159	58788.75	27.39335	0.994762	0.998656	1.00133	1.00525	3.401997
136	0	-985.1496	-1038.134	52.98409	20145.69	33.53735	0.991059	0.997698	1.00227	1.00897	2.876782
137	1	-993.0644	-1040.679	47.61415	88076.1	27.80314	0.99572	0.998903	1.00109	1.00429	3.050299
138	0	-994.7049	-1030.349	35.64362	20924.06	27.99918	0.991226	0.997742	1.00223	1.0088	3.479415
139	1	-1004.48	-1042.881	38.40106	26138.13	37.01981	0.992149	0.997981	1.002	1.00787	3.240134
140	0	-995.897	-1038.836	42.93884	71791.11	29.13967	0.99526	0.998784	1.00121	1.00475	3.217956
141	1	-978.2124	-1036.208	57.99607	20908.5	32.12952	0.991223	0.997741	1.00223	1.0088	2.726136
142	0	-1008.582	-1045.648	37.06541	59282.42	27.83431	0.994784	0.998662	1.00133	1.00523	3.429547
143	1	-983.5689	-1032.619	49.05061	78411.31	34.94478	0.995464	0.998837	1.00116	1.00454	2.979537
144	0	-992.055	-1037.927	45.87236	99263.14	25.70888	0.995968	0.998967	1.00103	1.00404	3.087347
145	1	-1002.722	-1032.655	29.93326	6459.703	19.52668	0.984229	0.995916	1.004	1.01586	3.578051
146	0	-993.3153	-1031.49	38.17502	92073.06	24.39322	0.995814	0.998927	1.00107	1.00419	3.371312
147	1	-1001.962	-1039.378	37.41577	62136.63	25.23941	0.994905	0.998693	1.0013	1.0051	3.412719
148	0	-991.4693	-1038.453	46.98332	90894.79	27.72325	0.995787	0.99892	1.00107	1.00422	3.072352
149	1	-1002.249	-1039.465	37.2161	53787.76	25.89582	0.994525	0.998595	1.00139	1.00549	3.425027
150	0	-988.6687	-1031.58	42.91083	46341.47	26.58001	0.994101	0.998486	1.0015	1.00591	3.212634
151	1	-988.4267	-1031.275	42.84877	83604.3	23.7648	0.995607	0.998874	1.00112	1.0044	3.162552
152	0	-1003.829	-1040.056	36.22699	26459.15	23.99409	0.992196	0.997993	1.00199	1.00783	3.445213
153	1	-997.6448	-1029.713	32.06832	42009.04	24.43619	0.993805	0.998409	1.00158	1.00621	3.621923
154	0	-983.4475	-1031.218	47.77096	57694.22	31.60886	0.994713	0.998643	1.00135	1.0053	3.047687
155	1	-1001.653	-1037.875	36.22162	25284.75	29.78045	0.992018	0.997947	1.00203	1.00801	3.44082
156	0	-1008.908	-1048.394	39.48532	33925.62	25.94071	0.993107	0.998229	1.00175	1.00691	3.337752
157	1	-1009.183	-1041.714	32.53145	42208.04	25.366	0.99382	0.998413	1.00157	1.00619	3.606375
158	0	-980.4629	-1041.608	61.14469	68995.03	32.40982	0.995165	0.99876	1.00123	1.00484	2.629676
159	1	-983.0223	-1022.016	38.9933	19315.34	25.53006	0.990869	0.997649	1.00232	1.00916	3.353302
160	0	-987.0487	-1034.34	47.29132	20898.22	32.90726	0.991221	0.997741	1.00223	1.00881	3.052782
161	1	-1001.366	-1038.114	36.74769	97230.42	23.70994	0.995927	0.998956	1.00104	1.00408	3.418199
162	0	-984.3226	-1036.291	51.96825	28210.25	31.55164	0.992442	0.998057	1.00192	1.00758	2.914978
163	1	-974.793	-1025.732	50.93854	40765.45	31.76381	0.993711	0.998385	1.0016	1.0063	2.947055
164	0	-994.9849	-1034.686	39.7011	12630.83	32.25482	0.988713	0.997089	1.00287	1.01133	3.293675
165	1	-986.964	-1031.264	44.30021	41626.07	29.281	0.993777	0.998402	1.00158	1.00624	3.170994
166	0	-1021.368	-1046.518	25.14997	54937.26	27.11123	0.994582	0.99861	1.00138	1.00543	3.871678
167	1	-976.0085	-1024.041	48.03259	52124.88	29.0066	0.994438	0.998572	1.00142	1.00557	3.042724
168	0	-980.3543	-1021.186	40.83179	62523.07	26.51066	0.994921	0.998697	1.00129	1.00509	3.290425
169	1	-996.6911	-1041.431	44.74036	26811.04	36.577	0.992248	0.998007	1.00197	1.00777	3.076555
170	0	-987.7387	-1036.228	48.48971	13776.33	31.7454	0.989191	0.997213	1.00275	1.01085	3.024248
171	1	-985.0379	-1029.338	44.29979	59721.93	27.84497	0.994803	0.998667	1.00132	1.00521	3.169683
172	0	-1002.389	-1038.878	36.48943	91330.35	31.8355	0.995797	0.998923	1.00107	1.00421	3.400705
173	1	-968.4096	-1012.946	44.53664	7225.466	26.67651	0.985086	0.996141	1.00378	1.01499	3.152521
174	0	-986.4391	-1032.409	45.97012	13877.67	32.38588	0.989231	0.997223	1.00274	1.01081	3.09811
175	1	-985.3692	-1019.199	33.82996	9619.381	24.31154	0.98707	0.99666	1.00328	1.01299	3.548653
176	0	-992.8622	-1025.641	32.77898	86246.6	26.12824	0.995675	0.998891	1.0011	1.00433	3.595773
177	1	-998.5697	-1033.209	34.63888	16801.13	23.50074	0.990211	0.997478	1.00249	1.00982	3.503561
178	0	-983.9268	-1028.29	44.36308	708.1738	32.27564	0.952647	0.9874	1.01179	1.04816	3.148918
179	1	-986.795	-1034.603	47.80789	6015.41	30.38409	0.983659	0.995767	1.00414	1.01644	3.051224
180	0	-987.7133	-1030.702	42.98826	99329.72	26.9666	0.99597	0.998967	1.00103	1.00404	3.21278
181	1	-982.5526	-1034.548	51.99574	99100.33	33.34903	0.995965	0.998966	1.00103	1.00404	2.907415
182	0	-989.2764	-1031.883	42.60625	65802.58	30.22814	0.995049	0.99873	1.00126	1.00496	3.223564
183	1	-986.5064	-1022.745	36.23908	5497.342	31.45078	0.982909	0.995569	1.00433	1.0172	3.415212
184	0	-984.6098	-1026.252	41.64218	30346.58	23.69885	0.992713	0.998127	1.00185	1.00731	3.211448
185	1	-973.8699	-1019.902	46.03246	77735.84	27.10397	0.995445	0.998832	1.00116	1.00456	3.101352
186	0	-996.7619	-1044.041	47.27947	39294.7	27.78419	0.993595	0.998355	1.00163	1.00642	3.062181
187	1	-989.0304	-1027.415	38.38468	85393.02	29.67519	0.995654	0.998886	1.00111	1.00435	3.369269
188	0	-977.4465	-1032.823	55.37623	51007.12	31.8035	0.994377	0.998557	1.00143	1.00563	2.807401
189	1	-988.5622	-1029.445	40.88302	21367.73	24.80174	0.991318	0.997766	1.00221	1.00871	3.268258
190	0	-999.8116	-1036.842	37.03007	23769.02	25.64355	0.991767	0.997882	1.00209	1.00826	3.430912
191	1	-997.6938	-1048.261	50.56751	28069.55	31.97796	0.992423	0.998052	1.00193	1.0076	2.957964
192	0	-976.4163	-1028.862	52.44622	87645.91	37.19606	0.99571	0.9989	1.00109	1.0043	2.858622
193	1	-997.3013	-1039.418	42.11656	46249.38	28.3017	0.994096	0.998484	1.0015	1.00592	3.248205
194	0	-997.6385	-1039.216	41.5775	99311.44	30.06157	0.995969	0.998967	1.00103	1.00404	3.258926
195	1	-988.1149	-1035.399	47.28423	95972.26	28.48134	0.9959	0.998949	1.00105	1.00411	3.066565
196	0	-983.3798	-1025.313	41.93315	63027.88	24.01774	0.994941	0.998702	1.00129	1.00507	3.208021
197	1	-995.6991	-1040.478	44.7789	2695.341	26.36889	0.975624	0.993641	1.00615	1.02459	3.139778
198	0	-989.9713	-1032.371	42.39957	43479.33	22.00989	0.993911	0.998436	1.00155	1.0061	3.112982
199	1	-981.5527	-1025.47	43.91691	48988.3	33.66542	0.994263	0.998527	1.00146	1.00575	3.145392
200	0	-996.2611	-1037.857	41.59541	30852.72	28.49845	0.992773	0.998142	1.00184	1.00725	3.266267
201	1	-992.879	-1030.932	38.05321	92930.31	24.0431	0.995833	0.998932	1.00106	1.00417	3.370058
202	0	-984.0548	-1031.669	47.6146	23754.38	36.88944	0.991765	0.997881	1.00209	1.00826	2.993255
203	1	-983.8833	-1028.06	44.17707	66243.35	27.58864	0.995066	0.998734	1.00126	1.00494	3.172922
204	0	-988.3672	-1030.199	41.83141	21703.29	30.56816	0.991385	0.997783	1.00219	1.00864	3.246325
205	1	-991.8488	-1042.236	50.38732	57734.51	29.98462	0.994715	0.998644	1.00135	1.0053	2.9657
206	0	-979.239	-1029.685	50.44625	18798.28	31.62717	0.990744	0.997617	1.00235	1.00929	2.962995
207	1	-978.5167	-1027.33	48.81294	66902.1	32.20371	0.99509	0.998741	1.00125	1.00492	3.011499
