Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1580	-979.0974	-1027.63	48.53243	93008.23	30.57131	0.995835	0.998932	1.00106	1.00417	3.027104
1590	-988.7363	-1039.505	50.76911	33228.81	32.71475	0.993036	0.99821	1.00177	1.00698	2.94822
1600	-1003.027	-1039.995	36.96771	55736.42	28.26152	0.994621	0.99862	1.00137	1.00539	3.430418
1610	-981.0592	-1021.669	40.6098	62152.29	28.04222	0.994906	0.998693	1.0013	1.0051	3.301984
1620	-993.9363	-1024.378	30.44193	21212.8	25.0291	0.991286	0.997757	1.00222	1.00874	3.689276
1630	-1017.179	-1050.086	32.90734	88642.77	25.99596	0.995734	0.998906	1.00109	1.00427	3.591211
1640	-1006.665	-1039.884	33.21953	51347.4	23.58082	0.994396	0.998562	1.00143	1.00562	3.565168
1650	-1004.723	-1031.44	26.71746	89853.28	29.15447	0.995763	0.998914	1.00108	1.00424	3.774305
1660	-1006.897	-1042.765	35.86773	55015.65	26.28078	0.994586	0.998611	1.00138	1.00542	3.477697
1670	-1004.318	-1037.359	33.04063	66120.54	23.20207	0.995061	0.998733	1.00126	1.00495	3.566647
1680	-987.9332	-1029.257	41.32412	84298.98	27.0061	0.995625	0.998878	1.00111	1.00438	3.274666
1690	-989.5757	-1025.534	35.95779	64991.69	24.19493	0.995018	0.998722	1.00127	1.00499	3.459498
1700	-1001.438	-1032.792	31.3539	37785.55	23.66636	0.993468	0.998322	1.00166	1.00655	3.645231
1710	-994.9907	-1038.339	43.34865	33297.83	29.59475	0.993043	0.998212	1.00177	1.00697	3.202343
1720	-991.6429	-1025.873	34.23013	23973.8	24.76546	0.991803	0.997891	1.00208	1.00822	3.536241
1730	-995.2745	-1027.988	32.71302	33316.5	25.20957	0.993045	0.998213	1.00177	1.00697	3.59899
1740	-981.9764	-1027.519	45.54247	64177.53	25.96225	0.994987	0.998714	1.00128	1.00502	3.104613
1750	-989.1751	-1038.83	49.65459	2650.012	32.25344	0.975417	0.993586	1.0062	1.0248	2.985094
1760	-1009.94	-1044.627	34.68663	40867.32	27.50937	0.993719	0.998387	1.0016	1.00629	3.517485
1770	-999.7781	-1036.813	37.03484	52129.86	28.73672	0.994438	0.998573	1.00142	1.00557	3.424332
1780	-980.2847	-1027.561	47.27639	9845.838	27.06935	0.987219	0.996699	1.00324	1.01284	3.05504
1790	-984.591	-1033.5	48.90926	4097.762	36.11128	0.980214	0.994859	1.005	1.01993	2.968945
1800	-1012.389	-1033.034	20.64546	25796.36	23.50007	0.992097	0.997968	1.00201	1.00793	4.099012
1810	-1000.383	-1029.887	29.5038	82140.45	19.737	0.995568	0.998864	1.00113	1.00444	3.612202
1820	-993.8198	-1025.597	31.77726	42265.92	25.75177	0.993824	0.998414	1.00157	1.00619	3.635495
1830	-1002.095	-1030.876	28.78128	88669.04	22.14742	0.995735	0.998906	1.00109	1.00427	3.734584
1840	-1005.868	-1045.482	39.61439	43761.02	28.08765	0.99393	0.998441	1.00155	1.00608	3.33735
1850	-1009.38	-1048.637	39.25681	10972.8	27.28755	0.987892	0.996875	1.00307	1.01216	3.351443
1860	-993.7221	-1041.857	48.13476	20336.25	29.53024	0.991101	0.997709	1.00226	1.00893	3.040532
1870	-995.4906	-1035.708	40.21765	79144.94	36.60692	0.995485	0.998842	1.00115	1.00452	3.199592
1880	-1004.39	-1031.184	26.79398	1780.479	25.30654	0.970039	0.992146	1.00753	1.03028	3.833042
1890	-995.5478	-1039.544	43.99666	41282.96	29.12943	0.993751	0.998395	1.00159	1.00626	3.181673
1900	-998.0126	-1040.25	42.23707	49591.99	22.0774	0.994298	0.998536	1.00145	1.00571	3.123667
1910	-980.9645	-1028.989	48.0245	93013.56	29.82862	0.995835	0.998932	1.00106	1.00417	3.044506
1920	-1000.473	-1038.049	37.57633	21414.98	28.07056	0.991327	0.997768	1.00221	1.0087	3.410005
1930	-987.4542	-1034.215	46.76115	13002.31	31.90354	0.988875	0.997131	1.00283	1.01117	3.077555
1940	-997.9994	-1039.714	41.71497	12158.56	31.86911	0.988496	0.997032	1.00292	1.01155	3.23615
1950	-1001.447	-1035.601	34.15388	11358.18	30.40534	0.988098	0.996929	1.00302	1.01195	3.500249
1960	-989.6969	-1029.688	39.99133	932.1497	31.60472	0.958679	0.989062	1.01033	1.04193	3.293865
1970	-997.9702	-1036.939	38.96901	39876.2	25.03274	0.993642	0.998367	1.00162	1.00637	3.348637
1980	-990.7703	-1038.552	47.78176	66146.31	31.32102	0.995062	0.998733	1.00126	1.00495	3.048858
1990	-986.8501	-1035.235	48.38469	11705.76	35.40289	0.988276	0.996975	1.00298	1.01177	2.992889
2000	-973.0949	-1025.017	51.92235	18819.27	24.91369	0.99075	0.997618	1.00235	1.00928	2.827105
2010	-992.0091	-1024.999	32.99015	21708.98	27.71902	0.991386	0.997783	1.00219	1.00864	3.577139
2020	-999.9796	-1035.585	35.60587	89665.37	25.18652	0.995758	0.998913	1.00108	1.00425	3.484086
2030	-1012.845	-1042.339	29.49381	65939	24.348	0.995054	0.998731	1.00126	1.00495	3.7271
2040	-979.9996	-1029.096	49.09648	80696.04	33.10129	0.995529	0.998854	1.00114	1.00448	2.996408
2050	-994.2498	-1028.271	34.02067	68391.26	30.70503	0.995144	0.998754	1.00124	1.00486	3.499456
2060	-988.0159	-1039.722	51.70608	33963.51	32.3102	0.993111	0.99823	1.00175	1.00691	2.921283
2070	-1001.777	-1040.865	39.08813	34184.46	23.50673	0.993133	0.998236	1.00175	1.00688	3.314394
2080	-984.0888	-1029.94	45.85115	27708.05	33.09764	0.992374	0.998039	1.00194	1.00765	3.094491
2090	-973.5214	-1030.929	57.4072	22175.13	31.85208	0.991477	0.997807	1.00217	1.00855	2.7437
2100	-984.5219	-1035.439	50.91742	52754.32	35.93689	0.994471	0.998581	1.00141	1.00554	2.915376
2110	-970.6301	-1027.42	56.79031	90123.03	29.23535	0.995769	0.998915	1.00108	1.00424	2.743855
2120	-991.5135	-1030.331	38.818	97840.39	33.12467	0.995939	0.998959	1.00104	1.00407	3.306517
2130	-983.4996	-1025.106	41.60679	14366.35	24.53399	0.989415	0.997271	1.00269	1.01062	3.233693
2140	-980.6628	-1027.392	46.72891	45761.7	33.92454	0.994064	0.998476	1.00151	1.00595	3.058873
2150	-967.9937	-1026.558	58.56434	84573.23	33.26204	0.995633	0.99888	1.00111	1.00437	2.710444
