Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
186	0	-6301.123	-6330.846	29.72372	28.83098	7.658503
187	1	-6295.188	-6322.238	27.05041	29.29225	7.744686
188	0	-6295.273	-6319.196	23.92284	24.0364	7.810237
189	1	-6293.731	-6326.09	32.35942	28.61825	7.568147
190	0	-6300.549	-6332.996	32.4465	29.35839	7.559811
191	1	-6313.727	-6333.53	19.8037	23.35521	7.950657
192	0	-6303.366	-6321.774	18.40827	24.95263	8.065445
193	1	-6284.45	-6316.129	31.67861	29.8663	7.579331
194	0	-6307.878	-6327.376	19.49773	27.13119	8.037253
195	1	-6287.79	-6316.294	28.50445	27.77693	7.706958
196	0	-6285.311	-6319.995	34.6842	27.78205	7.484517
197	1	-6296.828	-6317.576	20.74773	28.93324	7.967759
198	0	-6284.76	-6315.167	30.40655	33.74485	7.515285
199	1	-6309.722	-6327.379	17.6567	26.35781	8.108511
200	0	-6287.446	-6321.289	33.8423	29.22563	7.513339
201	1	-6306.321	-6327.777	21.45625	26.33068	7.964205
202	0	-6273.491	-6309.136	35.64504	26.02276	7.416568
203	1	-6315.915	-6340.548	24.63247	25.4187	7.828466
204	0	-6284.01	-6308.463	24.45264	28.70968	7.843144
205	1	-6296.204	-6315.049	18.84531	26.20707	8.063018
206	0	-6280.199	-6309.406	29.20694	27.71506	7.681643
207	1	-6296.508	-6330.297	33.78859	27.52069	7.514823
208	0	-6293.94	-6308.765	14.82472	27.45566	8.204935
209	1	-6274.031	-6304.396	30.36503	27.45459	7.638915
210	0	-6273.678	-6297.516	23.83741	25.18628	7.854249
211	1	-6287.935	-6319.233	31.29768	28.69899	7.604787
212	0	-6289.89	-6319.005	29.11465	27.26132	7.683603
213	1	-6298.248	-6322.977	24.72932	27.26609	7.844464
214	0	-6290.841	-6322.968	32.1269	27.27088	7.573199
215	1	-6300.497	-6319.953	19.45556	29.14703	8.007497
216	0	-6264.13	-6281.302	17.17158	28.63887	8.098384
217	1	-6294.541	-6323.616	29.07485	28.11438	7.685827
218	0	-6275.095	-6296.144	21.04895	28.5733	7.96416
219	1	-6284.309	-6317.086	32.77759	27.99676	7.553907
220	0	-6305.068	-6323.593	18.52482	25.19285	8.065293
221	1	-6302.644	-6327.959	25.31449	28.79643	7.81193
222	0	-6308.124	-6331.157	23.03358	29.42389	7.879032
223	1	-6307.886	-6333.308	25.42181	28.67172	7.809885
224	0	-6287.193	-6310.143	22.9501	27.23381	7.909805
225	1	-6298.155	-6336.913	38.75753	30.55119	7.335755
226	0	-6291.604	-6310.839	19.23504	28.04435	8.036909
227	1	-6295.69	-6324.87	29.18051	28.55804	7.679688
228	0	-6303.414	-6317.085	13.67082	27.65238	8.243413
229	1	-6304.979	-6318.626	13.64719	27.01556	8.254448
230	0	-6297.365	-6315.036	17.67065	28.03458	8.09286
231	1	-6309.211	-6331.731	22.51971	27.28379	7.925441
232	0	-6319.741	-6322.485	2.744499	23.63215	8.686245
233	1	-6304.972	-6332.381	27.40918	26.38901	7.73894
234	0	-6283.699	-6311.025	27.32613	26.92112	7.747508
235	1	-6284.95	-6317.701	32.75139	28.99327	7.552488
236	0	-6284.88	-6306.54	21.66005	29.52114	7.923423
237	1	-6309.705	-6324.033	14.3278	25.18183	8.231773
238	0	-6282.891	-6312.497	29.60578	24.33803	7.589679
239	1	-6295.928	-6325.551	29.62389	31.50439	7.611239
240	0	-6307.167	-6322.626	15.4594	25.36583	8.188855
241	1	-6309.888	-6332.918	23.03027	27.34987	7.906511
242	0	-6291.572	-6315.114	23.54196	26.6377	7.887116
243	1	-6297.847	-6324.587	26.74046	33.9875	7.614237
244	0	-6282.663	-6296.412	13.74945	28.24888	8.227794
245	1	-6301.578	-6324.352	22.77475	26.81176	7.916429
246	0	-6277.83	-6304.436	26.60599	28.65356	7.768791
247	1	-6321.3	-6328.788	7.488029	27.42978	8.472807
248	0	-6300.867	-6319.406	18.53894	25.61459	8.070598
249	1	-6279.811	-6305.671	25.86006	26.13098	7.794265
250	0	-6291.169	-6310.36	19.19144	27.44198	8.046022
251	1	-6294.418	-6320.418	25.99961	25.46908	7.775933
252	0	-6303.981	-6319.517	15.53653	28.52945	8.158137
253	1	-6303.528	-6326.676	23.14794	25.64008	7.891114
254	0	-6290.921	-6312.478	21.55727	27.69703	7.957819
255	1	-6292.289	-6323.114	30.82482	25.15075	7.575513
