Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
2170	-6272.301	-6300.956	28.6548	28.14676	7.700635
2180	-6294.914	-6318.911	23.99725	28.85026	7.856816
2190	-6295.462	-6319.366	23.90465	32.05055	7.774016
2200	-6280.438	-6320.573	40.13549	30.22449	7.293719
2210	-6290.451	-6316.553	26.10196	28.53699	7.787721
2220	-6287.195	-6316.175	28.9796	27.26722	7.688589
2230	-6291.4	-6314.036	22.63604	26.42269	7.920037
2240	-6274.147	-6302.729	28.58206	26.4095	7.694805
2250	-6289.423	-6314.555	25.13201	28.80365	7.818163
2260	-6293.159	-6315.457	22.29815	26.76244	7.934129
2270	-6286.568	-6315.019	28.45077	27.44387	7.708612
2280	-6283.719	-6311.981	28.26214	27.6059	7.715726
2290	-6304.178	-6325.619	21.44055	23.16821	7.869804
2300	-6298.269	-6315.308	17.03917	26.6029	8.131373
2310	-6300.962	-6321.008	20.04541	26.06675	8.016355
2320	-6287.22	-6314.862	27.64189	27.33032	7.737843
2330	-6269.991	-6301.286	31.29588	29.87025	7.592085
2340	-6301.28	-6324.445	23.16523	26.92219	7.902068
2350	-6310.519	-6327.114	16.59475	26.92444	8.146105
2360	-6288.441	-6318.263	29.82109	27.12066	7.656671
2370	-6282.894	-6322.049	39.15458	29.32932	7.331389
2380	-6305.438	-6319.322	13.8835	25.66181	8.252512
2390	-6313.768	-6337.178	23.41003	27.65187	7.891215
2400	-6293.287	-6315.781	22.49325	24.33471	7.881793
2410	-6310.228	-6321.85	11.62234	24.47888	8.331135
2420	-6283.171	-6300.712	17.54098	26.16681	8.112711
2430	-6276.573	-6299.557	22.98358	29.73346	7.873686
2440	-6292.089	-6327.882	35.79272	27.8388	7.445086
2450	-6287.386	-6308.747	21.36096	29.029	7.944618
2460	-6286.242	-6318.233	31.99148	27.00016	7.575232
2470	-6261.331	-6293.379	32.04827	26.45108	7.564378
2480	-6287.179	-6304.022	16.84209	32.21145	7.987487
2490	-6270.218	-6291.735	21.51753	27.10627	7.962887
2500	-6293.827	-6318.592	24.76453	28.06157	7.839596
2510	-6263.595	-6302.045	38.44992	26.47766	7.323115
2520	-6297.626	-6326.954	29.32855	26.07704	7.660438
2530	-6301.182	-6322.861	21.67952	29.70529	7.918254
2540	-6297.079	-6312.327	15.24822	24.32872	8.179364
2550	-6302.562	-6316.543	13.98068	29.73088	8.176561
2560	-6274.618	-6311.621	37.00292	27.56209	7.398557
2570	-6289.474	-6325.21	35.73582	26.38083	7.423196
2580	-6252.859	-6298.787	45.92799	28.43903	7.091613
2590	-6273.853	-6310.944	37.09137	30.28542	7.39372
2600	-6261.553	-6296.214	34.66168	27.97001	7.486476
2610	-6269.254	-6299.203	29.94924	29.83618	7.63774
2620	-6271.847	-6305.228	33.38015	29.12199	7.529944
2630	-6295.391	-6309.145	13.75448	28.87228	8.211219
2640	-6295.001	-6329.522	34.52135	27.98158	7.49155
2650	-6281.131	-6308.433	27.30224	28.66826	7.744337
2660	-6288.286	-6309.343	21.05628	22.50425	7.842007
2670	-6291.199	-6307.194	15.99492	27.26418	8.164827
2680	-6264.638	-6293.778	29.14035	28.77803	7.679245
2690	-6297.485	-6314.356	16.87068	26.03163	8.138054
2700	-6282.328	-6307.441	25.11325	24.59615	7.784516
2710	-6297.439	-6320.906	23.46675	27.16384	7.890934
2720	-6282.177	-6310.989	28.81194	27.19583	7.69435
2730	-6287.062	-6313.655	26.59251	28.26469	7.77303
2740	-6288.373	-6318.596	30.22261	28.37942	7.644144
2750	-6261.611	-6294.957	33.34647	29.30455	7.52964
2760	-6303.421	-6321.566	18.14492	26.07737	8.089308
2770	-6303.671	-6318.724	15.05361	25.71889	8.207176
2780	-6300.068	-6311.276	11.2082	24.26935	8.34428
2790	-6285.357	-6308.331	22.97387	25.56868	7.896631
2800	-6302.646	-6317.932	15.28602	22.9294	8.123303
2810	-6274.673	-6309.636	34.96382	29.18806	7.475192
2820	-6308.992	-6319.028	10.0361	23.56643	8.375741
2830	-6312.515	-6325.801	13.28605	22.62149	8.194121
2840	-6292.955	-6317.09	24.13462	26.53468	7.864197
2850	-6281.171	-6314.384	33.21325	25.64696	7.498778
2860	-6317.179	-6324.044	6.865122	23.11608	8.497193
2870	-6283.248	-6301.728	18.4799	24.2425	8.043787
2880	-6270.631	-6300.584	29.95298	28.33377	7.653855
2890	-6285.112	-6307.541	22.42878	26.09006	7.925165
2900	-6292.518	-6320.907	28.38929	29.94295	7.688017
2910	-6278.661	-6314.351	35.68994	28.57435	7.451759
2920	-6279.545	-6309.436	29.89076	29.20689	7.648774
2930	-6280.954	-6299.587	18.63259	24.34819	8.040859
2940	-6288.348	-6311.938	23.59034	25.04398	7.860332
2950	-6301.976	-6325.785	23.80921	26.7867	7.877759
2960	-6295.58	-6314.104	18.52392	25.93873	8.073996
2970	-6276.988	-6302.947	25.95936	27.28802	7.799375
2980	-6275.3	-6301.493	26.19261	26.57124	7.786998
2990	-6298.71	-6301.557	2.84709	25.30514	8.686652
3000	-6279.722	-6300.178	20.45581	29.37401	7.967858
3010	-6274.855	-6307.422	32.56672	27.96231	7.561358
3020	-6282.234	-6307.884	25.64954	31.49558	7.737667
3030	-6302.806	-6324.034	21.22885	25.80553	7.968191
3040	-6284.576	-6311.757	27.18113	25.31861	7.725414
3050	-6283.86	-6306.844	22.98354	27.97037	7.903996
3060	-6288.327	-6310.964	22.63688	24.74066	7.889827
3070	-6298.12	-6323.21	25.0906	26.97286	7.830733
3080	-6311.112	-6329.083	17.97024	27.06667	8.094059
3090	-6296.312	-6314.475	18.1635	28.18572	8.072682
3100	-6292.261	-6316.359	24.09856	26.12257	7.861572
3110	-6270.935	-6299.246	28.31104	28.08451	7.713122
3120	-6292.426	-6320.007	27.58109	31.73077	7.669306
3130	-6284.138	-6307.69	23.55179	25.47424	7.872149
3140	-6288.731	-6308.721	19.99044	27.73604	8.013949
3150	-6290.109	-6314.636	24.52785	27.19643	7.851878
3160	-6296.02	-6318.48	22.4602	25.55278	7.91644
3170	-6294.758	-6317.001	22.24286	28.01601	7.929977
3180	-6271.226	-6294.002	22.77632	24.8755	7.888221
3190	-6314.439	-6319.873	5.434294	25.73244	8.581052
3200	-6281.602	-6301.532	19.92982	25.22867	8.0102
3210	-6281.942	-6310.806	28.86435	25.3376	7.659523
3220	-6279.945	-6308.822	28.87676	26.73453	7.688001
3230	-6295.879	-6324.407	28.52806	26.44872	7.697428
3240	-6315.485	-6336.379	20.89388	25.96814	7.982918
3250	-6306.144	-6318.022	11.87809	28.82471	8.277669
3260	-6293.884	-6314.972	21.08758	28.4056	7.965616
3270	-6276.403	-6307.616	31.21277	28.10557	7.609789
3280	-6326.163	-6327.99	1.826718	24.95777	8.729934
3290	-6301.163	-6312.509	11.34658	26.50078	8.346502
3300	-6289.145	-6307.016	17.87086	27.69567	8.090935
3310	-6307.634	-6323.18	15.54618	27.66191	8.175437
3320	-6305.533	-6321.382	15.84897	29.64615	8.116399
3330	-6318.945	-6328.176	9.230765	24.99371	8.433466
3340	-6276.874	-6301.747	24.87247	28.38368	7.832619
3350	-6315.153	-6321.614	6.461053	26.12213	8.536761
3360	-6306.655	-6315.802	9.147556	22.71953	8.38174
3370	-6313.511	-6333.428	19.91667	26.30705	8.022588
3380	-6286.188	-6310.456	24.26776	25.50188	7.844637
3390	-6280.84	-6307.334	26.49396	25.94264	7.766803
3400	-6268.378	-6305.543	37.16406	27.16127	7.386641
